alvo_data,teimosinha_n,min_hits,custo15,custo_total,payout_total,profit,PASS,win_at,best_hits
23/01/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
25/01/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
26/01/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
27/01/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
28/01/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
29/01/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
30/01/2021,37,14,2.5,370.0,0.0,-370.0,False,,13
01/02/2021,37,14,2.5,370.0,0.0,-370.0,False,,13
02/02/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
03/02/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
04/02/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
05/02/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
06/02/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
08/02/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
09/02/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
10/02/2021,37,14,2.5,370.0,0.0,-370.0,False,,13
11/02/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
12/02/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
13/02/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
17/02/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
18/02/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
19/02/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
20/02/2021,37,14,2.5,370.0,0.0,-370.0,False,,13
22/02/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
23/02/2021,37,14,2.5,370.0,0.0,-370.0,False,,13
24/02/2021,37,14,2.5,370.0,0.0,-370.0,False,,13
25/02/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
26/02/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
27/02/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
01/03/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
02/03/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
03/03/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
04/03/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
05/03/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
06/03/2021,37,14,2.5,370.0,0.0,-370.0,False,,13
08/03/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
09/03/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
10/03/2021,37,14,2.5,370.0,0.0,-370.0,False,,13
11/03/2021,37,14,2.5,370.0,0.0,-370.0,False,,13
12/03/2021,37,14,2.5,370.0,0.0,-370.0,False,,13
13/03/2021,37,14,2.5,370.0,0.0,-370.0,False,,13
15/03/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
16/03/2021,37,14,2.5,370.0,0.0,-370.0,False,,13
17/03/2021,37,14,2.5,370.0,0.0,-370.0,False,,13
18/03/2021,37,14,2.5,370.0,0.0,-370.0,False,,11
19/03/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
20/03/2021,37,14,2.5,370.0,0.0,-370.0,False,,13
22/03/2021,37,14,2.5,370.0,0.0,-370.0,False,,13
23/03/2021,37,14,2.5,370.0,0.0,-370.0,False,,13
24/03/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
25/03/2021,37,14,2.5,370.0,0.0,-370.0,False,,13
26/03/2021,37,14,2.5,370.0,0.0,-370.0,False,,13
27/03/2021,37,14,2.5,370.0,0.0,-370.0,False,,13
29/03/2021,37,14,2.5,370.0,0.0,-370.0,False,,13
30/03/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
31/03/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
01/04/2021,37,14,2.5,370.0,0.0,-370.0,False,,13
03/04/2021,37,14,2.5,370.0,0.0,-370.0,False,,13
05/04/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
06/04/2021,37,14,2.5,370.0,0.0,-370.0,False,,13
07/04/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
08/04/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
09/04/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
10/04/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
12/04/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
13/04/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
14/04/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
15/04/2021,37,14,2.5,370.0,0.0,-370.0,False,,11
16/04/2021,37,14,2.5,370.0,0.0,-370.0,False,,11
17/04/2021,37,14,2.5,370.0,0.0,-370.0,False,,11
19/04/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
20/04/2021,37,14,2.5,370.0,0.0,-370.0,False,,11
22/04/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
23/04/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
24/04/2021,37,14,2.5,370.0,0.0,-370.0,False,,11
26/04/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
27/04/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
28/04/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
29/04/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
30/04/2021,37,14,2.5,370.0,0.0,-370.0,False,,13
03/05/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
04/05/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
05/05/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
06/05/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
07/05/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
08/05/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
10/05/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
11/05/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
12/05/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
13/05/2021,37,14,2.5,370.0,0.0,-370.0,False,,11
14/05/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
15/05/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
17/05/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
18/05/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
19/05/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
20/05/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
21/05/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
22/05/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
24/05/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
25/05/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
26/05/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
27/05/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
28/05/2021,37,14,2.5,370.0,0.0,-370.0,False,,13
29/05/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
31/05/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
01/06/2021,37,14,2.5,370.0,0.0,-370.0,False,,13
02/06/2021,37,14,2.5,370.0,0.0,-370.0,False,,13
04/06/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
05/06/2021,37,14,2.5,370.0,0.0,-370.0,False,,13
07/06/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
08/06/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
09/06/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
10/06/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
11/06/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
12/06/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
14/06/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
15/06/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
16/06/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
17/06/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
18/06/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
19/06/2021,37,14,2.5,370.0,0.0,-370.0,False,,11
21/06/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
22/06/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
23/06/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
24/06/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
25/06/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
26/06/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
28/06/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
29/06/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
30/06/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
01/07/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
02/07/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
03/07/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
05/07/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
06/07/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
07/07/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
08/07/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
09/07/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
10/07/2021,37,14,2.5,370.0,0.0,-370.0,False,,11
12/07/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
13/07/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
14/07/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
15/07/2021,37,14,2.5,370.0,0.0,-370.0,False,,11
16/07/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
17/07/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
19/07/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
20/07/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
21/07/2021,37,14,2.5,370.0,0.0,-370.0,False,,11
22/07/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
23/07/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
24/07/2021,37,14,2.5,370.0,0.0,-370.0,False,,13
26/07/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
27/07/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
28/07/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
29/07/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
30/07/2021,37,14,2.5,370.0,0.0,-370.0,False,,13
31/07/2021,37,14,2.5,370.0,0.0,-370.0,False,,13
02/08/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
03/08/2021,37,14,2.5,370.0,0.0,-370.0,False,,13
04/08/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
05/08/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
06/08/2021,37,14,2.5,370.0,0.0,-370.0,False,,13
07/08/2021,37,14,2.5,370.0,0.0,-370.0,False,,13
09/08/2021,37,14,2.5,370.0,0.0,-370.0,False,,13
10/08/2021,37,14,2.5,370.0,0.0,-370.0,False,,13
11/08/2021,37,14,2.5,370.0,0.0,-370.0,False,,13
12/08/2021,37,14,2.5,370.0,0.0,-370.0,False,,13
13/08/2021,37,14,2.5,370.0,0.0,-370.0,False,,13
14/08/2021,37,14,2.5,370.0,0.0,-370.0,False,,13
16/08/2021,37,14,2.5,370.0,0.0,-370.0,False,,13
17/08/2021,37,14,2.5,370.0,0.0,-370.0,False,,13
18/08/2021,37,14,2.5,370.0,0.0,-370.0,False,,13
19/08/2021,37,14,2.5,370.0,0.0,-370.0,False,,13
20/08/2021,37,14,2.5,370.0,0.0,-370.0,False,,13
21/08/2021,37,14,2.5,370.0,0.0,-370.0,False,,13
23/08/2021,37,14,2.5,370.0,0.0,-370.0,False,,13
24/08/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
25/08/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
26/08/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
27/08/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
11/09/2021,37,14,2.5,370.0,0.0,-370.0,False,,13
13/09/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
14/09/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
15/09/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
16/09/2021,37,14,2.5,370.0,0.0,-370.0,False,,13
17/09/2021,37,14,2.5,370.0,0.0,-370.0,False,,13
18/09/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
20/09/2021,37,14,2.5,370.0,0.0,-370.0,False,,13
21/09/2021,37,14,2.5,370.0,0.0,-370.0,False,,13
22/09/2021,37,14,2.5,370.0,0.0,-370.0,False,,13
23/09/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
24/09/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
25/09/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
27/09/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
28/09/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
29/09/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
30/09/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
01/10/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
02/10/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
04/10/2021,37,14,2.5,370.0,0.0,-370.0,False,,11
05/10/2021,37,14,2.5,370.0,0.0,-370.0,False,,11
06/10/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
07/10/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
08/10/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
09/10/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
11/10/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
13/10/2021,37,14,2.5,370.0,0.0,-370.0,False,,13
14/10/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
15/10/2021,37,14,2.5,370.0,0.0,-370.0,False,,11
16/10/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
18/10/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
19/10/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
20/10/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
21/10/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
22/10/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
23/10/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
25/10/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
26/10/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
27/10/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
28/10/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
29/10/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
30/10/2021,37,14,2.5,370.0,0.0,-370.0,False,,13
01/11/2021,37,14,2.5,370.0,0.0,-370.0,False,,13
03/11/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
04/11/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
05/11/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
06/11/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
08/11/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
09/11/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
10/11/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
11/11/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
12/11/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
13/11/2021,37,14,2.5,370.0,0.0,-370.0,False,,11
16/11/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
17/11/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
18/11/2021,37,14,2.5,370.0,0.0,-370.0,False,,13
19/11/2021,37,14,2.5,370.0,1791.74,1421.74,True,32,14
20/11/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
22/11/2021,37,14,2.5,370.0,0.0,-370.0,False,,13
23/11/2021,37,14,2.5,370.0,0.0,-370.0,False,,13
24/11/2021,37,14,2.5,370.0,0.0,-370.0,False,,11
25/11/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
26/11/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
27/11/2021,37,14,2.5,370.0,0.0,-370.0,False,,13
29/11/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
30/11/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
01/12/2021,37,14,2.5,370.0,0.0,-370.0,False,,13
02/12/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
03/12/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
04/12/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
06/12/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
07/12/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
08/12/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
09/12/2021,37,14,2.5,370.0,0.0,-370.0,False,,13
10/12/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
11/12/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
13/12/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
14/12/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
15/12/2021,37,14,2.5,370.0,0.0,-370.0,False,,13
16/12/2021,37,14,2.5,370.0,0.0,-370.0,False,,13
17/12/2021,37,14,2.5,370.0,0.0,-370.0,False,,13
18/12/2021,37,14,2.5,370.0,0.0,-370.0,False,,13
20/12/2021,37,14,2.5,370.0,0.0,-370.0,False,,13
21/12/2021,37,14,2.5,370.0,0.0,-370.0,False,,13
22/12/2021,37,14,2.5,370.0,0.0,-370.0,False,,13
23/12/2021,37,14,2.5,370.0,0.0,-370.0,False,,13
24/12/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
27/12/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
28/12/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
29/12/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
30/12/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
31/12/2021,37,14,2.5,370.0,0.0,-370.0,False,,12
03/01/2022,37,14,2.5,370.0,0.0,-370.0,False,,12
04/01/2022,37,14,2.5,370.0,0.0,-370.0,False,,12
05/01/2022,37,14,2.5,370.0,0.0,-370.0,False,,12
06/01/2022,37,14,2.5,370.0,0.0,-370.0,False,,12
07/01/2022,37,14,2.5,370.0,0.0,-370.0,False,,12
08/01/2022,37,14,2.5,370.0,0.0,-370.0,False,,12
10/01/2022,37,14,2.5,370.0,0.0,-370.0,False,,12
11/01/2022,37,14,2.5,370.0,0.0,-370.0,False,,12
12/01/2022,37,14,2.5,370.0,0.0,-370.0,False,,12
13/01/2022,37,14,2.5,370.0,0.0,-370.0,False,,12
14/01/2022,37,14,2.5,370.0,0.0,-370.0,False,,11
15/01/2022,37,14,2.5,370.0,0.0,-370.0,False,,12
17/01/2022,37,14,2.5,370.0,0.0,-370.0,False,,12
18/01/2022,37,14,2.5,370.0,0.0,-370.0,False,,12
